Data;NAV
15/07/1991;50,6200
16/07/1991;50,6200
17/07/1991;50,6200
18/07/1991;50,6400
19/07/1991;50,6500
22/07/1991;50,6800
23/07/1991;50,6900
24/07/1991;50,7100
25/07/1991;50,7200
26/07/1991;50,7300
29/07/1991;50,7700
30/07/1991;50,7700
31/07/1991;50,7600
01/08/1991;50,7700
02/08/1991;50,7700
05/08/1991;50,8000
06/08/1991;50,8100
07/08/1991;50,8200
08/08/1991;50,8400
09/08/1991;50,8500
12/08/1991;50,8800
13/08/1991;50,9000
14/08/1991;50,9200
15/08/1991;50,9400
16/08/1991;50,9500
19/08/1991;50,9800
20/08/1991;50,9900
21/08/1991;51,0100
22/08/1991;51,0200
23/08/1991;51,0400
26/08/1991;51,0700
27/08/1991;51,1000
28/08/1991;51,1400
29/08/1991;51,1300
30/08/1991;51,1400
02/09/1991;51,1700
03/09/1991;51,1800
04/09/1991;51,1900
05/09/1991;51,1900
06/09/1991;51,2100
09/09/1991;51,2500
10/09/1991;51,2500
11/09/1991;51,2600
12/09/1991;51,2700
13/09/1991;51,2800
16/09/1991;51,3100
17/09/1991;51,3300
18/09/1991;51,3300
19/09/1991;51,3500
20/09/1991;51,3500
23/09/1991;51,3800
24/09/1991;51,4000
25/09/1991;51,4300
26/09/1991;51,4300
27/09/1991;51,4400
30/09/1991;51,4800
01/10/1991;51,4900
02/10/1991;51,5100
04/10/1991;51,5300
07/10/1991;51,5600
08/10/1991;51,5700
09/10/1991;51,6000
10/10/1991;51,6100
11/10/1991;51,6400
14/10/1991;51,6600
15/10/1991;51,6800
16/10/1991;51,7100
17/10/1991;51,7000
18/10/1991;51,7100
21/10/1991;51,7500
22/10/1991;51,7600
23/10/1991;51,7700
24/10/1991;51,7700
25/10/1991;51,7800
28/10/1991;51,8000
29/10/1991;51,8100
30/10/1991;51,8300
31/10/1991;51,8300
01/11/1991;51,8400
04/11/1991;51,8800
05/11/1991;51,8900
06/11/1991;51,9000
07/11/1991;51,9100
08/11/1991;51,9300
11/11/1991;51,9900
12/11/1991;51,9900
13/11/1991;52,0100
14/11/1991;52,0200
15/11/1991;52,0300
18/11/1991;52,0600
19/11/1991;52,0600
21/11/1991;52,1000
22/11/1991;52,1100
25/11/1991;52,1300
26/11/1991;52,1300
27/11/1991;52,1500
28/11/1991;52,1500
29/11/1991;52,1600
02/12/1991;52,2000
03/12/1991;52,2000
04/12/1991;52,2100
05/12/1991;52,2200
06/12/1991;52,2500
09/12/1991;52,2800
10/12/1991;52,2900
11/12/1991;52,3000
