Ticker,Market Cap
AC.PA,10614178816
AI.PA,93118595072
AIR.PA,111799468032
MT.AS,18264002560
CS.PA,73151995904
BNP.PA,67241050112
EN.PA,11211260928
CAP.PA,27831629824
CA.PA,9594370048
ACA.PA,39993843712
BN.PA,41844408320
DSY.PA,43039576064
EDEN.PA,7039610880
ENGI.PA,36944867328
EL.PA,104418254848
ERF.PA,8735235072
RMS.PA,213760606208
KER.PA,26751756288
OR.PA,177898799104
LR.PA,26073040896
MC.PA,290719334400
ML.PA,22347751424
ORA.PA,26133598208
RI.PA,28074240000
PUB.PA,25877172224
RNO.PA,12029220864
SAF.PA,91731779584
SGO.PA,44290990080
SAN.PA,118322487296
SU.PA,137532948480
GLE.PA,21136715776
STLAP.PA,36828504064
STMPA.PA,23449004032
TEP.PA,5384287744
HO.PA,32752472064
TTE.PA,129542504448
URW.PA,10373858304
VIE.PA,20818933760
DG.PA,57436205056
VIV.PA,8994582528
