Ticker,Market Cap
A2A.MI,6983752704
AMP.MI,5803141120
AZM.MI,3702457088
BMED.MI,10102694912
BMPS.MI,7903294976
BAMI.MI,13428342784
BPSO.MI,4533873152
BPE.MI,9566016512
BC.MI,8670419968
BC.MI,8670419968
CPR.MI,6456253440
DIA.MI,5382443520
ENEL.MI,69477818368
ENI.MI,43028004864
RACE.MI,86941655040
FBK.MI,10800246784
G.MI,48451117056
HER.MI,5139486720
IP.MI,4086045440
ISP.MI,80100483072
INW.MI,8767715328
IG.MI,4809681920
IVG.MI,4196059136
LDO.MI,20659273728
MB.MI,13756812288
MONC.MI,17849171968
NEXI.MI,5812506112
PIRC.MI,5763999744
PST.MI,18907924480
PRY.MI,19694708736
REC.MI,11535593472
SPM.MI,4521108992
SRG.MI,14896875520
STLAM.MI,38257373184
STMMI.MI,22431621120
TIT.MI,5913977856
TEN.MI,20101095424
TRN.MI,15802550272
UCG.MI,73864765440
UNI.MI,10119496704
