Ticker,Market Cap
AC.PA,10640980992
AI.PA,93072449536
AIR.PA,111703605248
MT.AS,18217250816
CS.PA,73086509056
BNP.PA,67218350080
EN.PA,11211260928
CAP.PA,27831629824
CA.PA,9558546432
ACA.PA,39993843712
BN.PA,41857318912
DSY.PA,42959671296
EDEN.PA,7022161408
ENGI.PA,36944867328
EL.PA,104509808640
ERF.PA,8739034112
RMS.PA,213550940160
KER.PA,26702716928
OR.PA,177925652480
LR.PA,26052069376
MC.PA,290070528000
ML.PA,22354884608
ORA.PA,26101493760
RI.PA,28048889856
PUB.PA,25852073984
RNO.PA,12003025920
SAF.PA,91731779584
SGO.PA,44310970368
SAN.PA,118398255104
SU.PA,137392390144
GLE.PA,21120421888
STLAP.PA,36764925952
STMPA.PA,23402057728
TEP.PA,5370031104
HO.PA,32857954304
TTE.PA,129565220864
URW.PA,10357003264
VIE.PA,20789651456
DG.PA,57436205056
VIV.PA,8994582528
