Ticker,Market Cap
ADS.DE,42851758080
AIR.PA,126353653760
ALV.DE,116674347008
BAS.DE,39810940928
BAYN.DE,19412699136
BEI.DE,28071964672
BMW.DE,49623289856
BNR.DE,8847927296
CBK.DE,17894438912
CON.DE,13328399360
1COV.DE,10928046080
DTG.DE,29375821824
DBK.DE,33170708480
DB1.DE,40929566720
DHL.DE,41281310720
DTE.DE,148362870784
EOAN.DE,30961227776
FRE.DE,19628808192
HNR1.DE,30824593408
HEI.DE,22659489792
HEN3.DE,33312339968
IFX.DE,42898264064
MBG.DE,60478054400
MRK.DE,61368909824
MTX.DE,17362622464
MUV2.DE,69207425024
P911.DE,55479922688
PAH3.DE,10865765376
QIA.DE,9700406272
RHM.DE,26745180160
RWE.DE,21779664896
SAP.DE,281184829440
SRT3.DE,14162594816
SIE.DE,149892071424
ENR.DE,38766972928
SHL.DE,60216922112
SY1.DE,14494356480
VOW3.DE,44900057088
VNA.DE,25541357568
ZAL.DE,9117350912
