Ticker,Market Cap
ADBE,197278924800
AMD,196595302400
ABNB,84019331072
GOOGL,2356604567552
GOOG,2357315502080
AMZN,2372289167360
AEP,49336819712
AMGN,143677194240
ADI,105388670976
ANSS,29507379200
AAPL,3831248977920
AMAT,133249048576
APP,114510700544
ARM,141454082048
ASML,297475309568
AZN,206529789952
TEAM,67056287744
ADSK,64478134272
ADP,120077582336
BKR,39912529920
BIIB,21416323072
BKNG,167068827648
AVGO,1068488654848
CDNS,83672154112
CDW,23380502528
CHTR,50436931584
CTAS,75508219904
CSCO,233668526080
CCEP,36125999104
CTSH,39651045376
CMCSA,146135564288
CEG,71958306816
CPRT,56718077952
CSGP,29359284224
COST,426431578112
CRWD,89410895872
CSX,61902278656
DDOG,50701959168
DXCM,31685068800
FANG,45331030016
DASH,71003635712
EA,39116705792
EXC,37228949504
FAST,42943537152
FTNT,74713841664
GEHC,35962757120
GILD,115890642944
GFS,23272300544
HON,149127643136
IDXX,34152062976
ILMN,21667932160
INTC,84844478464
INTU,180308541440
ISRG,188582543360
KDP,44138885120
KLAC,85320155136
KHC,36976418816
LRCX,93799702528
LIN,201943367680
LULU,46648143872
MAR,79507963904
MRVL,97251065856
MELI,87268728832
META,1519793471488
MCHP,30567950336
MU,97634713600
MSFT,3289971687424
MRNA,15517785088
MDLZ,80498843648
MDB,18352824320
MNST,50289008640
NFLX,391397638144
NVDA,3298803056640
NXPI,53974470656
ORLY,70750707712
ODFL,39270821888
ON,28251629568
PCAR,55717466112
PANW,125793533952
PAYX,50309574656
PYPL,88143314944
PDD,137870147584
PEP,210001461248
QCOM,171138449408
REGN,78552670208
ROP,56700555264
ROST,49679056896
SBUX,100828831744
SMCI,19086491648
SNPS,77190840320
TTWO,32265314304
TMUS,256770015232
TSLA,1416984788992
TXN,171387338752
TTD,62641946624
VRSK,39404929024
VRTX,102035636224
WBD,26234935296
WDAY,73365463040
XEL,38807273472
ZS,28815845376
