Ticker,Market Cap
AAPL,3687475052544
ABBV,348536930304
ABT,227543810048
ACN,243730792448
ADBE,198979977216
AIG,43983773696
AMD,186193149952
AMGN,157403758592
AMT,88513880064
AMZN,2386520440832
AVGO,1065249406976
AXP,217496862720
BA,138988716032
BAC,348044623872
BK,63295787008
BKNG,168326660096
BLK,151471669248
BMY,110221967360
C,157309419520
CAT,167620313088
CHTR,51534929920
CL,70753763328
CMCSA,138328604672
COF,78725906432
COP,128230604800
COST,470568435712
CRM,311267491840
CSCO,258421391360
CVS,83332579328
CVX,277360214016
DE,138909908992
DHR,146049220608
DIS,201035284480
DOW,27414607872
DUK,86578323456
EMR,69585264640
F,36998807552
FDX,64109748224
GD,66096766976
GE,225519681536
GILD,133712306176
GM,47181996032
GOOG,2261255716864
GOOGL,2263622877184
GS,208268886016
HD,391151583232
HON,136833933312
IBM,241720705024
INTC,112233594880
INTU,162265088000
JNJ,378622312448
JPM,781820297216
KHC,35323904000
KO,300150521856
LIN,220475441152
LLY,784169893888
LMT,102538846208
LOW,139008360448
MA,519035355136
MCD,215501979648
MDLZ,79720251392
MDT,110598619136
MET,56865894400
META,1787091746816
MMM,81149976576
MO,90348331008
MRK,212907147264
MS,224658620416
MSFT,3057149804544
NEE,141729366016
NFLX,445275766784
NKE,113094279168
NVDA,3423427887104
ORCL,496656220160
PEP,198771490816
PFE,146633375744
PG,389607129088
PM,230694567936
PYPL,77081731072
QCOM,193865220096
RTX,168473231360
SBUX,128394166272
SCHW,147694059520
SO,94272307200
SPG,69993340928
T,188018786304
TGT,60166627328
TMO,202229661696
TMUS,298342383616
TSLA,1168167665664
TXN,177223614464
UNH,463045525504
UNP,148044038144
UPS,98263949312
USB,73460400128
V,685377257472
VZ,175460302848
WFC,264332115968
WMT,835455746048
XOM,483802415104
