Ticker,Market Cap
ADS.DE,41941155840
ADYEN.AS,45189672960
AD.AS,28756232192
AI.PA,88966979584
AIR.PA,121211813888
ALV.DE,113610342400
ABI.BR,95397085184
ASML.AS,270718205952
CS.PA,73716359168
BAS.DE,37789380608
BAYN.DE,18557988864
BBVA.MC,53300715520
SAN.MC,65452781568
BMW.DE,47599697920
BNP.PA,65014448128
BN.PA,41264181248
DB1.DE,40617410560
DHL.DE,39282696192
DTE.DE,143533604864
ENEL.MI,69041127424
ENI.MI,39213359104
EL.PA,105921019904
RACE.MI,73085763584
FLTR.L,37133651968
RMS.PA,240913121280
IBE.MC,83597467648
ITX.MC,154128089088
IFX.DE,40975511552
INGA.AS,46007943168
ISP.MI,67830595584
KER.PA,28713388032
OR.PA,181585936384
MC.PA,315006386176
MBG.DE,50764300288
MUV2.DE,66465341440
NOKIA.HE,22832779264
NDA-FI.HE,35939483648
RI.PA,27192348672
PRX.AS,92495642624
SAF.PA,87395614720
SGO.PA,42543198208
SAN.PA,115016884224
SAP.DE,275702284288
SU.PA,134521094144
SIE.DE,148012351488
STLAM.MI,35416481792
TTE.PA,117048508416
DG.PA,55152652288
UCG.MI,58139017216
VOW.DE,44166832128
